P,K,C,val_acc,delta_sota
6,2400,0.03,0.7626,-0.0052000000000000934
6,3200,0.003,0.7766,0.008799999999999919
6,3200,0.005,0.7784,0.010599999999999943
6,3200,0.01,0.773,0.005199999999999982
6,3200,0.02,0.7686,0.0007999999999999119
6,3200,0.03,0.7618,-0.006000000000000005
6,4000,0.003,0.7786,0.01079999999999992
6,4000,0.005,0.7768,0.009000000000000008
6,4000,0.01,0.7784,0.010599999999999943
6,4000,0.02,0.7736,0.005799999999999916
6,4000,0.03,0.7672,-0.0006000000000000449
6,6000,0.003,0.778,0.010199999999999987
6,6000,0.005,0.7732,0.00539999999999996
6,6000,0.01,0.7708,0.0030000000000000027
6,6000,0.02,0.7638,-0.0040000000000000036
6,6000,0.03,0.7598,-0.008000000000000007
6,8000,0.003,0.7858,0.018000000000000016
6,8000,0.005,0.7842,0.01639999999999997
6,8000,0.01,0.778,0.010199999999999987
6,8000,0.02,0.7688,0.0010000000000000009
6,8000,0.03,0.7646,-0.0032000000000000917
7,400,0.003,0.7172,-0.05060000000000009
7,400,0.005,0.7208,-0.04700000000000004
7,400,0.01,0.724,-0.04380000000000006
7,400,0.02,0.7264,-0.04139999999999999
7,400,0.03,0.729,-0.03880000000000006
7,800,0.003,0.7426,-0.0252
7,800,0.005,0.7494,-0.018400000000000083
7,800,0.01,0.754,-0.013800000000000034
7,800,0.02,0.7528,-0.015000000000000013
7,800,0.03,0.7546,-0.01319999999999999
7,1200,0.003,0.7564,-0.011400000000000077
7,1200,0.005,0.7582,-0.009600000000000053
7,1200,0.01,0.7584,-0.009400000000000075
7,1200,0.02,0.7588,-0.009000000000000008
7,1200,0.03,0.7556,-0.012199999999999989
7,1600,0.003,0.7702,0.0023999999999999577
